ime_poti,cas_poti,tezavnost_poti,vrh 
Kandrše (Trata) - Slivna (Pivkelj) (mimo GEOSS-a),120,lahka označena pot,Slivna (Pivkelj)
Kandrše (Trata) - Slivna (Pivkelj) (mimo sv. Florjana),140,lahka označena pot,Slivna (Pivkelj)
Zavrh pri Trojanah - Reber,45,lahka označena pot,Reber
Kolovrat - Reber,60,lahka označena pot,Reber
Krače - Pleše,105,lahka označena pot,Pleše
Mlinše - Pleše (preko Zasavske Svete gore),150,lahka označena pot,Pleše
Izlake - Pleše (čez Vežnico),105,lahka označena pot,Pleše
Izlake - Pleše (čez Grobovščico),135,lahka označena pot,Pleše
Dom v Gorah - Koča na Kopitniku,75,lahka označena pot,Koča na Kopitniku
Rimske Toplice - Koča na Kopitniku (po dolini Ogeškega potoka),100,lahka označena pot,Koča na Kopitniku
Rimske Toplice (Šmarjeta) - Koča na Kopitniku (skozi Lurd),100,lahka označena pot,Koča na Kopitniku
Širje - Koča na Kopitniku,90,lahka označena pot,Koča na Kopitniku
Matke - Kamnik (severozahodna pot),80,delno zahtevna označena pot,Kamnik
Matke - Kamnik (južna pot),75,zahtevna označena pot,Kamnik
Griže - Kamnik (čez Zahom),150,delno zahtevna označena pot,Kamnik
"Matke, Podmrzlica - Kamnik (Južna pot)",70,zahtevna označena pot,Kamnik
Lesično - Oslica (Bohor),105,lahka označena pot,Oslica (Bohor)
Kozje - Oslica (Bohor) (čez Vetrnik),130,lahka označena pot,Oslica (Bohor)
Jablance - Oslica (Bohor) (mimo Koče na Bohorju),115,"lahka označena pot, lahka neoznačena steza",Oslica (Bohor)
Planina pri Sevnici - Oslica (Bohor) (severna pot),155,"lahka označena pot, lahka neoznačena steza",Oslica (Bohor)
Planina pri Sevnici - Oslica (Bohor) (čez Škofov travnik),170,"lahka označena pot, lahka neoznačena steza",Oslica (Bohor)
Renke - Ostrež,90,lahka označena pot,Ostrež
Zavrate - Ostri vrh,80,delno zahtevna označena pot,Ostri vrh
Vače - Zasavska Sveta gora,120,lahka označena pot,Zasavska Sveta gora
Rovišče - Zasavska Sveta gora (peš pot),30,delno zahtevna označena pot,Zasavska Sveta gora
Krače - Zasavska Sveta gora,75,lahka označena pot,Zasavska Sveta gora
Rovišče - Zasavska Sveta gora (po cesti),35,lahka označena pot,Zasavska Sveta gora
Mlinše - Zasavska Sveta gora,90,lahka neoznačena steza,Zasavska Sveta gora
Vače - Zasavska Sveta gora (po grebenu),155,lahka označena pot,Zasavska Sveta gora
Vidrga - Zasavska Sveta gora (po gozdni stezi),90,lahka neoznačena steza,Zasavska Sveta gora
Vače - Zasavska Sveta gora (po pobočju),150,lahka označena pot,Zasavska Sveta gora
Vidrga - Zasavska Sveta gora (po kolovozu),90,lahka neoznačena steza,Zasavska Sveta gora
 Kočevje - Koča pri Jelenovem studencu (Grajska pot),90,lahka označena pot,Koča pri Jelenovem studencu
Kočevje - Koča pri Jelenovem studencu (Kalanova pot),75,lahka označena pot,Koča pri Jelenovem studencu
Trojane - Lipovec,90,lahka neoznačena steza,Lipovec
Planina pri Sevnici - Lovski dom Bohor,90,lahka označena pot,Lovski dom Bohor
Izlake - Sv. Primož in Felicijan (Razbor pri Čemšeniku),125,"lahka označena pot, lahka neoznačena steza",Sv. Primož in Felicijan (Razbor pri Čemšeniku)
Kočevje - Ledena jama na Stojni (Kalanova pot),105,lahka označena pot,Ledena jama na Stojni
Sveta Trojica - Cicelj,105,lahka označena pot,Cicelj
Senožeti - Cicelj,90,lahka označena pot,Cicelj
Križevska vas - Cicelj (mimo kmetije Buven),45,lahka označena pot,Cicelj
Križevska vas - Cicelj,40,lahka označena pot,Cicelj
Senožeti - Cicelj (lovska pot),90,lahka označena pot,Cicelj
Kamnica - Cicelj,100,lahka označena pot,Cicelj
Kamnica - Cicelj (mimo kmetije Buven),105,lahka označena pot,Cicelj
Zagrad - Tolsti vrh nad Celjsko kočo (vzhodna pot),105,lahka označena pot,Tolsti vrh nad Celjsko kočo
Zvodno - Tolsti vrh nad Celjsko kočo (skozi Hudičev graben),105,zahtevna označena pot,Tolsti vrh nad Celjsko kočo
Zagrad - Tolsti vrh nad Celjsko kočo (Po vrheh),100,lahka označena pot,Tolsti vrh nad Celjsko kočo
Štore - Tolsti vrh nad Celjsko kočo (mimo  Marije),120,lahka označena pot,Tolsti vrh nad Celjsko kočo
Štore - Tolsti vrh nad Celjsko kočo (skozi Bojanski graben),150,lahka označena pot,Tolsti vrh nad Celjsko kočo
"Štore - Tolsti vrh nad Celjsko kočo (čez Resevno, Resje in mimo Alminega doma)",240,lahka označena pot,Tolsti vrh nad Celjsko kočo
Štore - Tolsti vrh nad Celjsko kočo (čez Žlajfo),135,lahka označena pot,Tolsti vrh nad Celjsko kočo
Zvodno - Tolsti vrh nad Celjsko kočo (skozi Suhi potok in čez smučišče),90,lahka označena pot,Tolsti vrh nad Celjsko kočo
Zvodno - Tolsti vrh nad Celjsko kočo (skozi Suhi potok),90,lahka označena pot,Tolsti vrh nad Celjsko kočo
Zvodno - Tolsti vrh nad Celjsko kočo (mimo Marije),100,lahka označena pot,Tolsti vrh nad Celjsko kočo
Kozolec (Laška vas - Pečovje)  - Tolsti vrh nad Celjsko kočo (mimo Marije in po CPP),95,lahka označena pot,Tolsti vrh nad Celjsko kočo
Zvodno - Tolsti vrh nad Celjsko kočo (čez Srebotnik po CPP),135,lahka označena pot,Tolsti vrh nad Celjsko kočo
Teharje - Tolsti vrh nad Celjsko kočo (čez Srebotnik po CPP),180,lahka označena pot,Tolsti vrh nad Celjsko kočo
Kozolec (Laška vas - Pečovje)  - Tolsti vrh nad Celjsko kočo (čez Srebotnik po CPP),135,lahka označena pot,Tolsti vrh nad Celjsko kočo
Matke - Golava,75,lahka označena pot,Golava
Marija Reka (Strgar) - Golava,75,zahtevna označena pot,Golava
Marija Reka - Golava (Ovčja pot),75,delno zahtevna označena pot,Golava
Onek - Lovski vrh,45,lahka označena pot,Lovski vrh
Mačkovec - Lovski vrh,15,lahka neoznačena steza,Lovski vrh
GEOSS - Dom na Zgornji Slivni,30,lahka označena pot,Dom na Zgornji Slivni
Katarija - Dom na Zgornji Slivni,135,lahka označena pot,Dom na Zgornji Slivni
Kandrše (Trata) - Dom na Zgornji Slivni (mimo GEOSS-a),90,lahka označena pot,Dom na Zgornji Slivni
Moravče - Dom na Zgornji Slivni (čez Pivkelj),170,lahka označena pot,Dom na Zgornji Slivni
Krače - Planinski dom na Zasavski Sveti gori,70,lahka označena pot,Planinski dom na Zasavski Sveti gori
Mlinše - Planinski dom na Zasavski Sveti gori,90,lahka neoznačena steza,Planinski dom na Zasavski Sveti gori
Rovišče - Planinski dom na Zasavski Sveti gori (pešpot),25,delno zahtevna označena pot,Planinski dom na Zasavski Sveti gori
Rovišče - Planinski dom na Zasavski Sveti gori (po cesti),30,lahka označena pot,Planinski dom na Zasavski Sveti gori
Vače - Planinski dom na Zasavski Sveti gori (po pobočju),150,lahka označena pot,Planinski dom na Zasavski Sveti gori
Vače - Planinski dom na Zasavski Sveti gori (po grebenu),155,lahka označena pot,Planinski dom na Zasavski Sveti gori
Vidrga - Planinski dom na Zasavski Sveti gori (po gozdni stezi),90,lahka neoznačena steza,Planinski dom na Zasavski Sveti gori
Vidrga - Planinski dom na Zasavski Sveti gori (po kolovozu),90,lahka neoznačena steza,Planinski dom na Zasavski Sveti gori
Gabrje - Planinski dom pri Gospodični,70,lahka označena pot,Planinski dom pri Gospodični
Vahta - Planinski dom pri Gospodični (po cesti),120,lahka označena pot,Planinski dom pri Gospodični
Pogorelec - Sedlata gorica (Pogorelec),45,lahka neoznačena steza,Sedlata gorica (Pogorelec)
Zavrate - Govško brdo,40,lahka označena pot,Govško brdo
Lesično - Brest (Bohor),90,lahka označena pot,Brest (Bohor)
Kozje - Brest (Bohor) (čez Vetrnik),120,lahka označena pot,Brest (Bohor)
Planina pri Sevnici - Brest (Bohor) (čez Škofov travnik),155,lahka označena pot,Brest (Bohor)
Jablance - Brest (Bohor) (mimo Koče na Bohorju),100,lahka označena pot,Brest (Bohor)
Planina pri Sevnici - Brest (Bohor) (severna pot),140,lahka označena pot,Brest (Bohor)
Štore - Veliki vrh nad Svetino (čez Žlajfo in čez Svetino),135,lahka označena pot,Veliki vrh nad Svetino
Štore - Veliki vrh nad Svetino (mimo Marije in čez Svetino),150,lahka označena pot,Veliki vrh nad Svetino
Celje - Veliki vrh nad Svetino,225,lahka označena pot,Veliki vrh nad Svetino
Štore - Veliki vrh nad Svetino (skozi Bojanski graben in čez Svetino),150,lahka označena pot,Veliki vrh nad Svetino
"Štore - Veliki vrh nad Svetino (čez Resevno, Resje in Svetino)",240,lahka označena pot,Veliki vrh nad Svetino
Lanišče - Janče,30,lahka označena pot,Janče
Jevnica - Janče,105,lahka označena pot,Janče
Besnica - Janče,135,lahka označena pot,Janče
Veliko Trebeljevo - Janče,135,lahka označena pot,Janče
Laze pri Dolskem - Janče,135,lahka označena pot,Janče
Litija - Janče (čez Širmanski hrib),210,lahka označena pot,Janče
Trojane - Pašnik Lipovec,85,lahka označena pot,Pašnik Lipovec
Zavrate - Baba,40,delno zahtevna označena pot,Baba
Laško - Dom na Šmohorju,120,lahka označena pot,Dom na Šmohorju
Liboje - Dom na Šmohorju,75,lahka označena pot,Dom na Šmohorju
Zagreben (pri Dikcu) - Dom na Šmohorju,45,lahka označena pot,Dom na Šmohorju
Spodnja Rečica - Dom na Šmohorju (čez Tolsto),95,lahka označena pot,Dom na Šmohorju
Tremerje - Dom na Šmohorju,120,lahka označena pot,Dom na Šmohorju
Liboje - Dom na Šmohorju (mimo ekološke kmetije Kralj),90,lahka označena pot,Dom na Šmohorju
Tremerje - Dom na Šmohorju (po grebenu Malega Slomnika),120,lahka neoznačena steza,Dom na Šmohorju
Dule - Kamen vrh,45,lahka označena pot,Kamen vrh
Podpeč - Kamen vrh,50,lahka označena pot,Kamen vrh
Podgora - Kamen vrh,60,lahka označena pot,Kamen vrh
Celje - Vrunčev dom na Svetini,195,lahka označena pot,Vrunčev dom na Svetini
Štore - Vrunčev dom na Svetini (čez Žlajfo),90,lahka označena pot,Vrunčev dom na Svetini
Štore - Vrunčev dom na Svetini (čez Kompole in Šentjanž),135,lahka označena pot,Vrunčev dom na Svetini
Tremerje - Vrunčev dom na Svetini (mimo Celjske koče),180,lahka označena pot,Vrunčev dom na Svetini
Štore - Vrunčev dom na Svetini (čez Resevno in Resje nad Štorami),180,lahka označena pot,Vrunčev dom na Svetini
Zvodno - Vrunčev dom na Svetini (skozi Bojanski graben),90,lahka označena pot,Vrunčev dom na Svetini
Kozolec (Laška vas - Pečovje)  - Vrunčev dom na Svetini (skozi Bojanski graben),80,lahka označena pot,Vrunčev dom na Svetini
Kozolec (Laška vas - Pečovje)  - Vrunčev dom na Svetini (mimo Mirta),90,"lahka označena pot, lahka neoznačena steza",Vrunčev dom na Svetini
Kozolec (Laška vas - Pečovje)  - Vrunčev dom na Svetini (mimo Marije),95,lahka označena pot,Vrunčev dom na Svetini
Spodnja Rečica - Tolsto,75,lahka označena pot,Tolsto
Leskovec - Obolno,60,lahka označena pot,Obolno
Veliko Trebeljevo - Obolno,80,lahka označena pot,Obolno
Mala Goričica - Obolno,70,lahka označena pot,Obolno
Mala Goričica - Obolno (po cesti),75,lahka označena pot,Obolno
Gabrje - Limbarska gora (peš pot),45,lahka označena pot,Limbarska gora
Krašnja - Limbarska gora,75,lahka označena pot,Limbarska gora
Blagovica - Limbarska gora,90,lahka označena pot,Limbarska gora
Moravče - Limbarska gora (skozi Gabrje),95,lahka označena pot,Limbarska gora
Moravče - Limbarska gora (skozi Serjuče),85,lahka označena pot,Limbarska gora
Gradiško jezero - Limbarska gora,115,lahka označena pot,Limbarska gora
Zavrh pri Trojanah - Limbarska gora (čez Golčaj),210,lahka označena pot,Limbarska gora
Kandrše (Trata) - Limbarska gora,195,lahka označena pot,Limbarska gora
Peče - Limbarska gora,115,"lahka neoznačena steza, lahka označena pot",Limbarska gora
Zagrad - Almin dom na Svetini,120,lahka označena pot,Almin dom na Svetini
Pečovje - Almin dom na Svetini (čez Srebotnik),90,delno zahtevna označena pot,Almin dom na Svetini
Štore - Almin dom na Svetini (čez Žlajfo),90,lahka označena pot,Almin dom na Svetini
Štore - Almin dom na Svetini (čez Resevno in Resje nad Štorami),195,lahka označena pot,Almin dom na Svetini
Štore - Almin dom na Svetini (mimo Marije),105,lahka označena pot,Almin dom na Svetini
Štore - Almin dom na Svetini (skozi Bojanski graben),105,lahka označena pot,Almin dom na Svetini
Celje - Almin dom na Svetini (čez Suhi potok in Celjsko kočo),165,lahka označena pot,Almin dom na Svetini
Štore - Almin dom na Svetini (čez Šentjanž in mimo Vrunčevega doma),150,lahka označena pot,Almin dom na Svetini
Tremerje - Almin dom na Svetini (mimo Celjske koče),150,lahka označena pot,Almin dom na Svetini
Kozolec (Laška vas - Pečovje)  - Almin dom na Svetini (mimo Mirta),80,"lahka označena pot, lahka neoznačena steza",Almin dom na Svetini
Zvodno - Almin dom na Svetini (skozi Bojanski graben),95,lahka označena pot,Almin dom na Svetini
Teharje - Almin dom na Svetini (Pot I. Celjske čete),140,lahka označena pot,Almin dom na Svetini
Zabukovica - Kotečnik,75,lahka označena pot,Kotečnik
Liboje (kamnolom) - Kotečnik (čez vzhodni greben),65,lahka neoznačena steza,Kotečnik
"Zajasovnik - del (Strmce, kapelica) - Jasovnik (Motniška planinska pot)",45,lahka označena pot,Jasovnik
Hrastnik - Dom v Gorah,90,lahka označena pot,Dom v Gorah
Krnice - Dom v Gorah,65,lahka označena pot,Dom v Gorah
Širje - Dom v Gorah,80,lahka označena pot,Dom v Gorah
Rudnik pri Radomljah - Vrtače (čez Lancar),90,lahka neoznačena steza,Vrtače
Pravdan - Vrtače (čez Zgornje Palovče),105,lahka neoznačena steza,Vrtače
Kozolec (Laška vas - Pečovje)  - Babni vrh (Vladimirjeva pot),75,"lahka označena pot, lahka neoznačena steza",Babni vrh
Zvodno - Babni vrh (skozi Bojanski graben),90,"lahka označena pot, lahka neoznačena steza",Babni vrh
Štore - Babni vrh (čez Kompole in Šentjanž),120,"lahka označena pot, lahka neoznačena steza",Babni vrh
Teharje - Babni vrh (Pot I. Celjske čete),135,"lahka označena pot, lahka neoznačena steza",Babni vrh
Blečji vrh - Kucelj,45,lahka označena pot,Kucelj
Veliko Trebeljevo - Kucelj,45,lahka označena pot,Kucelj
Leskovec - Kucelj,25,lahka označena pot,Kucelj
Veliki Ločnik - Sveti Ahac,30,lahka označena pot,Sveti Ahac
Mali Ločnik - Sveti Ahac,15,lahka označena pot,Sveti Ahac
Vrčice - Sveti Ilija (Planina),75,lahka označena pot,Sveti Ilija (Planina)
Sveta Trojica - Murovica,45,lahka označena pot,Murovica
Zgornja Javoršica - Murovica,25,lahka označena pot,Murovica
Križevska vas - Murovica,45,lahka označena pot,Murovica
Kamnica - Murovica,80,lahka označena pot,Murovica
Senožeti - Murovica (čez Vrh pri Dolskem),125,lahka označena pot,Murovica
Senožeti - Murovica (mimo kmetije Buven),115,lahka označena pot,Murovica
Gorjuša - Murovica (skozi Dobovlje),160,lahka označena pot,Murovica
SSK Sam Ihan - Murovica (skozi Dobovlje),160,lahka neoznačena steza,Murovica
Loke - Zajčeva koča,90,lahka označena pot,Zajčeva koča
 Loke - Zajčeva koča (čez Krvavico),105,delno zahtevna označena pot,Zajčeva koča
Predgrad - Kozice,75,lahka označena pot,Kozice
Predgrad - Kozice (po cesti),90,lahka označena pot,Kozice
Senožeti - Sveti Miklavž nad Savo (peš pot),80,lahka označena pot,Sveti Miklavž nad Savo
Katarija - Sveti Miklavž nad Savo,45,lahka označena pot,Sveti Miklavž nad Savo
Moravče - Sveti Miklavž nad Savo,85,lahka označena pot,Sveti Miklavž nad Savo
Kamnica - Sveti Miklavž nad Savo (skozi Veliko vas),125,lahka označena pot,Sveti Miklavž nad Savo
Rudnik pri Radomljah - Tolsta gora,85,lahka neoznačena steza,Tolsta gora
Pravdan - Tolsta gora (mimo Čeha),105,lahka neoznačena steza,Tolsta gora
Krka - Ciganov vrh (Korinjski hrib) (del krožne poti Prijetno domače),105,lahka označena pot,Ciganov vrh (Korinjski hrib)
Planina pri Sevnici - Sveti Križ (nad Planino pri Sevnici),23,lahka označena pot,Sveti Križ (nad Planino pri Sevnici)
Planina pri Sevnici - Sveti Križ (nad Planino pri Sevnici) (skozi pravljični gozd),28,lahka označena pot,Sveti Križ (nad Planino pri Sevnici)
Brezovica - Markova glava (razgledna stena),30,lahka neoznačena steza,Markova glava (razgledna stena)
Mala Goričica - Kmečki turizem Obolno (čez Obolno),75,lahka označena pot,Kmečki turizem Obolno
Mala Goričica - Kmečki turizem Obolno (po cesti),70,lahka označena pot,Kmečki turizem Obolno
Okroglice - Sveti Lovrenc nad  vasjo Okroglice,60,lahka neoznačena steza,Sveti Lovrenc nad  vasjo Okroglice
Zagrad - Grmada nad Celjem (položna pot),90,lahka označena pot,Grmada nad Celjem
Zvodno - Grmada nad Celjem (skozi Hudičev graben),105,zahtevna označena pot,Grmada nad Celjem
Zagrad - Grmada nad Celjem (strma pot),75,delno zahtevna označena pot,Grmada nad Celjem
Zvodno - Grmada nad Celjem (skozi Suhi potok),75,lahka označena pot,Grmada nad Celjem
Kozolec (Laška vas - Pečovje)  - Grmada nad Celjem (mimo Marije in Bavča),120,"lahka označena pot, lahka neoznačena steza",Grmada nad Celjem
Kozje - Pokojni vrh (Bohor) (čez Vetrnik),90,lahka označena pot,Pokojni vrh (Bohor)
Blečji vrh - Gradišče (čez Kucelj),90,lahka označena pot,Gradišče
Renke - Plezališče in ferata Renke (razgledna pot čez ferato do Špitala),120,zelo zahtevna označena pot,Plezališče in ferata Renke
Pečovje - Srebotnik,50,lahka označena pot,Srebotnik
Celje - Srebotnik (po Celjski planinski poti),165,lahka označena pot,Srebotnik
Štore - Srebotnik (mimo Marije in južni pristop),105,lahka označena pot,Srebotnik
Štore - Srebotnik,90,lahka označena pot,Srebotnik
Zvodno - Srebotnik (skozi Hudičev graben),60,zahtevna označena pot,Srebotnik
Zvodno - Srebotnik (po Celjski planinski poti),75,lahka označena pot,Srebotnik
Kozolec (Laška vas - Pečovje)  - Srebotnik (severni pristop),75,"lahka označena pot, lahka neoznačena steza",Srebotnik
Teharje - Srebotnik (Pot I. Celjske čete),120,lahka označena pot,Srebotnik
GEOSS - Sveti Florjan (Zgornja Gora),35,lahka označena pot,Sveti Florjan (Zgornja Gora)
Moravče - Sveti Florjan (Zgornja Gora),135,lahka neoznačena steza,Sveti Florjan (Zgornja Gora)
Kandrše (Trata) - Sveti Florjan (Zgornja Gora),90,lahka označena pot,Sveti Florjan (Zgornja Gora)
Moravče - Gorišca,75,lahka označena pot,Gorišca
Trbovlje - Tabor,75,lahka označena pot,Tabor
Mekinje nad Stično - Pristava nad Stično,65,lahka označena pot,Pristava nad Stično
Pristavlja vas - Pristava nad Stično,105,lahka označena pot,Pristava nad Stično
Zvodno - Bavč (skozi Hudičev graben),60,"zahtevna označena pot, lahka neoznačena steza",Bavč
Zvodno - Bavč (skozi Suhi potok),70,lahka označena pot,Bavč
Kozolec (Laška vas - Pečovje)  - Bavč (mimo Marije),105,"lahka označena pot, lahka neoznačena steza",Bavč
Teharje - Bavč (mimo Marije),150,"lahka označena pot, lahka neoznačena steza",Bavč
Blagovica - Golčaj,40,lahka označena pot,Golčaj
Zavrh pri Trojanah - Golčaj,150,lahka označena pot,Golčaj
Peče - Golčaj,120,"lahka neoznačena steza, lahka označena pot",Golčaj
Kandrše (Trata) - Golčaj,200,lahka označena pot,Golčaj
Konec ceste pod Jelovcem - Limberk,35,lahka neoznačena steza,Limberk
Marof pri Pišecah - Veliki Špiček,70,lahka neoznačena steza,Veliki Špiček
Šentjur - Resevna,90,lahka označena pot,Resevna
Jakob pri Šentjurju - Resevna,90,lahka označena pot,Resevna
Štore - Resevna,150,lahka označena pot,Resevna
Štore - Resevna (skozi Bojanski graben in čez Resje nad Štorami),210,lahka označena pot,Resevna
Štore - Resevna (čez Žlajfo in čez Resje nad Štorami),195,lahka označena pot,Resevna
Vače - Sveti Križ (Slemšek),30,lahka označena pot,Sveti Križ (Slemšek)
Zagorje ob Savi - Vrh (Šticna) (Šmarjakova pot),60,lahka neoznačena steza,Vrh (Šticna)
Konec ceste pod Jelovcem - Stari grad (grad Čušperk),90,lahka neoznačena steza,Stari grad (grad Čušperk)
Prebold - Dom pod Reško planino,135,lahka označena pot,Dom pod Reško planino
Marija Reka (Strgar) - Dom pod Reško planino,60,lahka označena pot,Dom pod Reško planino
Trbovček - Dom pod Reško planino,135,lahka označena pot,Dom pod Reško planino
Podmeja - Dom pod Reško planino,95,lahka označena pot,Dom pod Reško planino
Kamnik - Visoka špica  (direktna pot),40,lahka neoznačena steza,Visoka špica 
Kamnik - Visoka špica  (via Castle Stari grad),50,lahka neoznačena steza,Visoka špica 
Kamnik - Visoka špica  (preko Krniške gore),60,lahka neoznačena steza,Visoka špica 
Veliko Trebeljevo - Sveta Marjeta (Prežganje),40,lahka označena pot,Sveta Marjeta (Prežganje)
Katarija - Dom Ušte - Žerenk,35,lahka označena pot,Dom Ušte - Žerenk
Cesta na Grmače (Moravče) - Dom Ušte - Žerenk,40,lahka označena pot,Dom Ušte - Žerenk
Moravče - Dom Ušte - Žerenk,70,lahka označena pot,Dom Ušte - Žerenk
GEOSS - Dom Ušte - Žerenk (čez Pivkelj),120,lahka označena pot,Dom Ušte - Žerenk
GEOSS - Dom Ušte - Žerenk (mimo sv. Florjana),100,lahka označena pot,Dom Ušte - Žerenk
Kandrše (Trata) - Dom Ušte - Žerenk,155,lahka označena pot,Dom Ušte - Žerenk
Zagrad - Celjska koča,70,lahka označena pot,Celjska koča
Zvodno - Celjska koča (skozi Hudičev graben),85,zahtevna označena pot,Celjska koča
"Celje - Celjska koča (čez Stari grad, Suhi potok in Pečovniško kočo)",130,ni podatka,Celjska koča
 Zagrad - Celjska koča (čez Vipoto),120,lahka označena pot,Celjska koča
Zagrad - Celjska koča (pod vrhom Vipota),110,lahka označena pot,Celjska koča
Štore - Celjska koča (čez Žlajfo in Tolsti vrh),165,lahka označena pot,Celjska koča
Tremerje - Celjska koča,120,lahka označena pot,Celjska koča
"Štore - Celjska koča (čez Resevno,  mimo Alminega doma in čez Tolsti vrh)",270,lahka označena pot,Celjska koča
Štore - Celjska koča (mimo Marije in čez Tolsti vrh),150,lahka označena pot,Celjska koča
Štore - Celjska koča (skozi Bojanski graben in čez Tolsti vrh),180,lahka označena pot,Celjska koča
Zvodno - Celjska koča (skozi Suhi potok),60,lahka označena pot,Celjska koča
Kozolec (Laška vas - Pečovje)  - Celjska koča (mimo Marije in Bavča),105,"lahka označena pot, lahka neoznačena steza",Celjska koča
Teharje - Celjska koča (mimo Marije in Bavča),150,"lahka označena pot, lahka neoznačena steza",Celjska koča
Kozje - Raskože (Bohor) (čez Vetrnik),75,lahka označena pot,Raskože (Bohor)
Izlake (Medijske toplice) - Vrhija (čez Podlipovico),75,lahka neoznačena steza,Vrhija
Katarija - GEOSS,155,lahka označena pot,GEOSS
Kandrše (Trata) - GEOSS,60,lahka označena pot,GEOSS
Moravče - GEOSS (čez Pivkelj),190,lahka označena pot,GEOSS
Moravče - GEOSS (mimo sv. Florjana),170,lahka neoznačena steza,GEOSS
Izlake  - Zabreznik (Sv. Miklavž) (čez Loke),60,lahka neoznačena steza,Zabreznik (Sv. Miklavž)
Zgornje Izlake - Zabreznik (Sv. Miklavž) (čez Zgornje Izlake),45,lahka neoznačena steza,Zabreznik (Sv. Miklavž)
Mekinje nad Stično - Sveti Lambert,65,lahka označena pot,Sveti Lambert
Pristavlja vas - Sveti Lambert,105,lahka označena pot,Sveti Lambert
Višnja Gora - Sveti Duh (Polževo),90,lahka označena pot,Sveti Duh (Polževo)
Hotel Polževo - Sveti Duh (Polževo),10,lahka označena pot,Sveti Duh (Polževo)
Kozolec (Laška vas - Pečovje)  - Veliki Bojanski vrh (skozi Bojanski graben),45,"lahka označena pot, lahka neoznačena steza",Veliki Bojanski vrh
Kozolec (Laška vas - Pečovje)  - Veliki Bojanski vrh (čez Žlajfo),40,"lahka označena pot, lahka neoznačena steza",Veliki Bojanski vrh
Zvodno - Veliki Bojanski vrh (skozi Bojanski graben),45,"lahka označena pot, lahka neoznačena steza",Veliki Bojanski vrh
Štore - Veliki Bojanski vrh (čez Kompole in Šentjanž),110,"lahka označena pot, lahka neoznačena steza",Veliki Bojanski vrh
Pečar - Žagarski vrh,35,lahka označena pot,Žagarski vrh
Medijske toplice - Kalanov hrib (Kalanček) (čez Reber),45,lahka označena pot,Kalanov hrib (Kalanček)
Izlake (tovarna ETI) - Kalanov hrib (Kalanček) (via Castle Medijski grad),45,lahka označena pot,Kalanov hrib (Kalanček)
Zvodno - Pečovniška koča na Grmadi (skozi Hudičev graben),85,zahtevna označena pot,Pečovniška koča na Grmadi
Zagrad - Pečovniška koča na Grmadi,70,lahka označena pot,Pečovniška koča na Grmadi
 Zagrad - Pečovniška koča na Grmadi (čez Grmado),90,delno zahtevna označena pot,Pečovniška koča na Grmadi
Celje - Pečovniška koča na Grmadi (over castle Stari grad in Suhi potok),120,lahka označena pot,Pečovniška koča na Grmadi
Zvodno - Pečovniška koča na Grmadi (skozi Suhi potok),50,lahka označena pot,Pečovniška koča na Grmadi
Kozolec (Laška vas - Pečovje)  - Pečovniška koča na Grmadi (mimo Marije in Bavča),100,"lahka označena pot, lahka neoznačena steza",Pečovniška koča na Grmadi
Zgornja Slivnica - Pugled,90,lahka označena pot,Pugled
Podlipoglav - Pugled (po zahodnem grebenu),50,lahka neoznačena steza,Pugled
Podlipoglav - Pugled (mimo stražarskega mesta),50,lahka neoznačena steza,Pugled
Čatež - Bajturn (Zaplaški hrib) (po severnem pobočju),50,lahka označena pot,Bajturn (Zaplaški hrib)
Čatež - Bajturn (Zaplaški hrib) (po grebenu),40,lahka označena pot,Bajturn (Zaplaški hrib)
Zaplaz - Bajturn (Zaplaški hrib) (po grebenu),20,lahka označena pot,Bajturn (Zaplaški hrib)
Zaplaz - Bajturn (Zaplaški hrib) (po severnem pobočju),30,lahka označena pot,Bajturn (Zaplaški hrib)
Most čez Dušico - Bajturn (Zaplaški hrib) (po grebenu),80,lahka označena pot,Bajturn (Zaplaški hrib)
Okrog (Lazar) - Bajturn (Zaplaški hrib) (po grebenu),90,lahka označena pot,Bajturn (Zaplaški hrib)
Most čez Dušico - Bajturn (Zaplaški hrib) (po severnem pobočju),90,lahka označena pot,Bajturn (Zaplaški hrib)
Okrog (Lazar) - Bajturn (Zaplaški hrib) (po severnem pobočju),100,lahka označena pot,Bajturn (Zaplaški hrib)
Košnica - Veliki Slomnik,40,lahka označena pot,Veliki Slomnik
Tremerje - Veliki Slomnik,60,lahka označena pot,Veliki Slomnik
Košnica - Veliki Slomnik,60,lahka označena pot,Veliki Slomnik
Liboje - Veliki Slomnik,45,lahka označena pot,Veliki Slomnik
Tremerje - Veliki Slomnik (Tremerje - Veliki Slomnik - Liboje),95,lahka označena pot,Veliki Slomnik
Tremerje - Veliki Slomnik (skozi sotesko Potoki),75,"lahka neoznačena steza, lahka označena pot",Veliki Slomnik
Griže - Dragov dom na Homu (direktna pot),90,lahka označena pot,Dragov dom na Homu
Matke (Zahom) - Dragov dom na Homu,35,lahka označena pot,Dragov dom na Homu
Šešče pri Preboldu - Dragov dom na Homu (čez Lajnarjev hrib),60,lahka označena pot,Dragov dom na Homu
Šešče pri Preboldu - Dragov dom na Homu (Brdovska pot),75,lahka označena pot,Dragov dom na Homu
Griže - Dragov dom na Homu (čez Lajnarjev hrib),100,lahka označena pot,Dragov dom na Homu
