ime,drzava,drzava_2,drzava_3,gorovje,visina,vrsta,stevilo_ogledov,priljubljenost,stevilo_poti,opis,blok_poti 
Zabreznik (Sv. Miklavž),Slovenija,,,Posavsko hribovje in Dolenjska,644,"vrh, cerkev",130258,46,2,"Zabreznik je vrh, ki se nahaja severovzhodno nad Izlakami. S svojimi 625 m je najvišji vrh omenjene krajevne skupnosti, ime pa nosi po Zaselku Zabreznik, ki se nahaja na njegovem vznožju in pod zaselkom Ržiše. Na vrhu nas pričaka travnik z lepim razgledom na Čemšeniško planino, Čemšenik, Prhovec ter Reber in je idealen za piknik v naravi. Prav na samem vrhu pa se nahaja tudi cerkev Sv. Miklavža, v kateri so občasno tudi maše. Vrh ni mnogo obiskan in je zato idealen za miren sprehod. V bližini vrha se nahaja zgodovinski spomenik - grad Gamberk, do katerega lahko podaljšamo izlet.",
Sveti Lambert,Slovenija,,,Posavsko hribovje in Dolenjska,643,"vrh, cerkev",150178,49,2,"Sveti Lambert se nahaja na neizraziti vzpetini v bližini vasi Pristava nad Stično. Z vrha, na katerem je nekoč stal grad v katerem je prebivala vojvodinja Virida Visconti iz Milana, se nam odpre lep razgled na Obolno in okoliško gričevje. Razgled deloma zastira gozd.",
Sveti Duh (Polževo),Slovenija,,,Posavsko hribovje in Dolenjska,630,"vrh, cerkev",4420,31,2,"Cerkvica Sv. Duha se nahaja na 630 metrih nadmorske višine in sicer na vzpetini nad hotelom polževo. Žig se nahaja nekaj 10 metrov stran, ob poti, ki se nadaljuje proti Krki in Muljavi.",
Veliki Bojanski vrh,Slovenija,,,Posavsko hribovje in Dolenjska,627,vrh,790,16,4,"Veliki Bojanski vrh je poraščen vrh, ki se nahaja južno od Celja in Štor v Posavskem hribovju. Nedaleč od vrha proti zahodu se odpre lep razgled na Tolsti vrh, Srebotnik in Bavč.",
Žagarski vrh,Slovenija,,,Posavsko hribovje in Dolenjska,627,"vrh, koča",16760,35,1,"Žagarski vrh se nahaja v grebenu, ki leži med Podlipoglavom in Besnico. Z vrha, na katerem stoji Dom radioamaterjev, se nam odpre lep razgled po okoliškem hribovju, delu Ljubljanske kotline, ob lepem vremenu pa razgled seže vse do Alp.",
Kalanov hrib (Kalanček),Slovenija,,,Posavsko hribovje in Dolenjska,626,vrh,203516,56,2,"Kalanov hrib ali Kalanček, kot ga domačini radi imenujejo, je vrh, ki leži nad Gladežem, naseljem na Izlakah v občini Zagorje ob Savi. Je eden najpopularnejših in najbolj obiskanih hribov v SZ delu občine. Vrh hriba nam proti severu ponuja razgled proti Čemšeniški planini, Menini planini ter Goltem. Proti jugu je čudovit pogled proti Plešam, Mareli, Vrhu, Kumu, kot tudi Javorju, Mrzlici ter Vrhem proti severovzhodu. Dostopnost hriba je enostavna, nanj vodi več poti, na vrhu pa nas pričaka jasa z že omenjenimi pogledi kot tudi vpisna knjiga ter klop in miza za počitek.",
Pečovniška koča na Grmadi,Slovenija,,,Posavsko hribovje in Dolenjska,620,koča,358206,75,6,"Pečovniška koča se nahaja na manjšem prevalu jugovzhodno od Grmade nad Celjem. Pečovniška koča, od katere je lep razgled na vzhodno stran je bila obiskovalcem predana leta 2006.",
Pugled,Slovenija,,,Posavsko hribovje in Dolenjska,615,vrh,337186,72,3,"Pugled je 615m visok vrh, ki se nahaja med Podlipoglavom in Velikim Lipoglavom. Z vrha na katerem stoji velik spomenik NOB je zaradi gozda razgled omejen. V bližini spomenika se nahajata tudi vpisna skrinjica in žig.",
Bajturn (Zaplaški hrib),Slovenija,,,Posavsko hribovje in Dolenjska,609,vrh,3340,29,8,"Bajturn oz. Zaplaški hrib je s 609 metri najvišji vrh občine Trebnje. Na vrhu se nahaja prijetna klopca z mizo, s skrinjico s knjigo vtisov in žig. Ker vrh prerašča gozd, se nam odpre nekaj razgleda le pozimi, pa še takrat ga večinoma zastirajo drevesa.",
Lomnik,Slovenija,,,Posavsko hribovje in Dolenjska,609,vrh,111576,44,0,"Neobljudeni hrib na zahodu Posavskega hribovja, poraščen z borovimi in hrastovimi gozdovi, poln borovničevih grmičkov, katere lahko obiramo v juniju. Razgled je prečudovit na reko Savo, Ljubljanico in tudi Ljubljana se lepo vidi. ",
Veliki Slomnik,Slovenija,,,Posavsko hribovje in Dolenjska,609,vrh,266244,63,6,"Veliki Slomnik je vrh, ki se nahaja med Košnico pri Celju in Libojami. Z vrha, ki ima vpisno skrinjico, zaradi gozda ni razgleda. Z nekaj minut oddaljene razgledne točke, pa se nam odpre pogled proti Libojam.",
Dragov dom na Homu,Slovenija,,,Posavsko hribovje in Dolenjska,607,"vrh, koča, cerkev",376285,77,6,"Dragov dom se nahaja na razgledni vzpetini, južno od Šempetra. Z vrha, na katerem je tudi cerkev svete Magdalene, je lep razgled od Kamniško Savinjskih Alp, prek vzhodnih Karavank do Pohorja. Lepo se vidi tudi Savinjska dolina in del Celjske kotline, nad katero se dviga vzhodno Posavsko hribovje.",
Gradišče nad Ilovo Goro,Slovenija,,,Posavsko hribovje in Dolenjska,601,"vrh, cerkev",423,12,1,"Gradišče nad Ilovo Goro je precej razgleden vrh v bližini vasi Velika Ilova Gora. Na nižjem deloma skalnatem vrhu so krajani konec leta 2017 postavili drog z zastavo ter očistili drevje. To sicer ni najvišja točka hriba (le ta je v relativni bližini in meri 606 m, vendar pa je zastrta z gozdom). Vrh ponuja odprte razglede na vse strani, razen proti severu.",
Mali Bojanski vrh,Slovenija,,,Posavsko hribovje in Dolenjska,600,vrh,398,11,5,"Mali Bojanski vrh je poraščen vrh, ki se nahaja južno od Celja in Štor v Posavskem hribovju. Na njegovi zahodni strani se nahaja malenkost višji brat - Veliki Bojanski vrh. Kakšnih 100 metrov dalje od kamnitega vrha Malega Bojanskega vrha se lahko po severovzhodnem položnem grebenu prispe do razgledne točke, kjer se nam odpre lep razgled proti severu na Štore in bližnjo okolico, pa tudi na okoliško hribovje od Donačke gore, Boča, Konjiške gore, Kislice do Paškega Kozjaka.",
Hotel Polževo,Slovenija,,,Posavsko hribovje in Dolenjska,592,koča,9180,34,1,"Hotel Polževo se nahaja ob vznožju smučišča Polževo ter ob markirani poti Višnja Gora - Sveti Duh. V okolici hotela so prijetni travniki, s katerih je lep razgled po okolici.",
Semenič,Slovenija,,,Posavsko hribovje in Dolenjska,590,vrh,122842,46,1,"Semenič je 590 metrov visok z gozdom poraščen vrh, ki se nahaja jugozahodno od bolj znanega Smuka nad Semičem. Na Semeniču je nekoč stal grad iz 12. stoletja, katerega so sredi 16. stoletja porušili Turki.",
Dom na Bukovici,Slovenija,,,Posavsko hribovje in Dolenjska,584,"vrh, koča",356867,74,2,"Planinski dom na Bukovici, se nahaja le nekaj metrov pod vrhom, z gozdom poraščene Bukovice. Od doma, v bližini katerega je velik travnik, pa je lep razgled na del Posavskega hribovja, kjer najbolje vidimo bližnji Gozdnik, Kamnik in Hom.",
Hum nad Laškim ,Slovenija,,,Posavsko hribovje in Dolenjska,583,vrh,26820,36,2,"Gre za piramidasto goro, ki se strmo dviga nad Laškim na levem bregu Savinje in je ne ni mogoče zgrešiti od koderkoli se pripeljete v Laško. Z vrha je ob lepem vremenu lep razgled, na severu vidimo v daljavi Pohorje, če se obračamo v smeri urinega kazalca vidimo najprej Tovsti vrh, na vzhodu obzorje zapirajo bližnja Borovec in Žikovsko brdo, zadaj med njima pa je Veliki vrh nad Svetino. Proti jugovzhodu in jugu se vidijo hribovja proti Kozjanskem, Lisca, Veliko Kozje, na drugi strani Savinje pa nižji Stražnik, višji Kopitnik in celo pogorje Gor, ki se zaključijo na Kovku. Na zahodu je naprej spodaj Šmihel, nekoliko naprej Ivškov hrib, še dlje Govško brdo, bolj levo Jelenca, desno pa Špelc, Kal in Mrzlica. Proti Pohorje potem obzorje zaključijo Tovsto, Gozdnik, Malič in nekoliko zadaj še Veliki Slomnik in Hom nad Košnico.",
Trebni vrh,Slovenija,,,Posavsko hribovje in Dolenjska,581,vrh,236584,60,6,"Trebni vrh je 581 metrov visok hrib, ki se nahaja južno oz. jugozahodno od Trebnjega. Na vrhu, katerega prerašča gozd stoji klop, v bližini nje pa še vpisna skrinjica z vpisno knjigo in žigom.",
Stari grad Kamnik,Slovenija,,,Posavsko hribovje in Dolenjska,577,"vrh, koča",317826,70,2,"Stari grad Kamnik, včasih Zgornji grad (Oberstain) se nahaja na razgledni vzpetini vzhodno od Kamnika imenovani Krniška gora. Danes so na vrhu Krniške gore le še razvaline gradu, kateri se prvič omenja že v 12. stoletju. Ob ruševinah nekdanjega gradu se nahaja še gostišče Grof Andeš, ki je odprto ob petkih, sobotah, nedeljah in praznikih. Z vrhe se nam odpre tudi lep pogled na Kamniške in Savinske Alpe, Kamnik, Gorenjsko in Ljubljansko kotlino. Ob lepi vidljivost pa razgled seže vse do Snežnika in Triglava.",
Mehovski hrib,Slovenija,,,Posavsko hribovje in Dolenjska,571,vrh,398142,79,6,"Mehovski hrib se nahaja nad vasjo Podgrad, 15 km od Novega mesta na obronkih Gorjancev. Včasih je na tem mestu stal grad in sam vrh je na razvalinah le tega. Hrib smo z leti očistili, tako, da je sedaj lep razgled na okolico Novega mesta in Gorjancev.",
Hom nad Celjem,Slovenija,,,Posavsko hribovje in Dolenjska,570,vrh,321310,70,4,"Hom je z gozdom poraščen vrh, ki se nahaja severno od Košnice pri Celju. Na vrhu je poleg vpisne skrinjice tudi manjša klop.",
Grmadnik,Slovenija,,,Posavsko hribovje in Dolenjska,569,vrh,743,16,1,Grmadnik je 569 metrov visok vrh nad dolino potoka Besnica med Podgradom in Besnico. Malo pod vrhom poteka tudi Borovničeva pohodna pot. Z vrha ki je poraščen z gozdom sicer ni veliko razgleda.,
Rifnik,Slovenija,,,Posavsko hribovje in Dolenjska,568,vrh,387518,78,2,"Rifnik je 568m visok vrh, ki se nahaja južno od Šentjurja pri Celju. Z vrha, ki je znan po arheološkem najdišču je lep razgled proti Šentjurju in okoliškem hribovju.<br> Podroben opis arheološkega najdišča si lahko preberete na vrhu Rifnika, kjer je najdišče lepo obnovljeno in nazorno predstavljeno.<br> Na severni strani Rifnika (10 minut pod vrhom) pa se nahajajo ruševine gradu Reicheneck, ki je bil prvič omenjen leta 1281.",
Resje nad Štorami,Slovenija,,,Posavsko hribovje in Dolenjska,567,vrh,254554,62,4,"Resje je vrh, ki se nahaja neposredno ob planinski poti med Resevno na vzhodu in Ramanco oziroma Alminim domom nad Svetino na zahodu. Leži v občini Štore med Prožinsko vasjo in Javornikom nad Štorami. Vrh poraščen z gozdom iz vzhodne in severne strani, medtem ko je nekaj metrov pod vrhom v smeri juga in zahoda travniško/pašniški del in nekaj odličnih razgledov. V bližini se nahaja lovska preža iz smeri Resevne, medtem ko je neposredno pod vrhom na južni strani pomnik NOB in domačija. V sestavi širših povezav med Resevno in celjskim hribovjem vsekakor vreden obiska.",
Lisec (Liška gora),Slovenija,,,Posavsko hribovje in Dolenjska,565,vrh,183192,53,1,"Lisec je 565 metrov visok vrh, ki se nahaja severno do severovzhodno od Žužemberka in jugozahodno od Dobrniča. Na vrhu stoji nekakšen kovinski križ, na katerega je pritrjena vpisna skrinjica, v kateri je vpisna knjiga in žig.",
Lovski dom na Vrhtrebnjem,Slovenija,,,Posavsko hribovje in Dolenjska,562,"koča, cerkev",230687,59,4,"Lovski dom Vrhtrebnje se nahaja le nekaj metrov stran od obeležja 15. poldnevnika pod Trebnim vrhom. Od lovskega doma oz. njegove bližine se nam odpre lep razgled po okoliškem hribovju, ob lepi vidljivosti pa razgled seže vse do Alp.<br>Nekoliko nižje v vasi Vrhtrebnje pa se nahaja še cerkev sv. Jakoba.",
Španov vrh (Besnica),Slovenija,,,Posavsko hribovje in Dolenjska,559,vrh,138,5,1,"Španov vrh je 559 metrov visok vrh nad dolino potoka Besnica med Podgradom in Besnico. Malo pod vrhom poteka tudi Borovničeva pohodna pot (odsek Podgrad - Vnajnarje), s katere je zlahka dosegljiv po kratki ""poluradni"" stezi. Vzpon naj lahko kombiniramo z vzponom na ostale vrhove v neposredni bližini, npr. na Grmadnik. Vrh brez formalnih oznak je poraščen z gozdom, zato z njega ni veliko razgleda, boljši razgled je z nekaterih drugih točk v bližini.",
Pri knapu pod Babo,Slovenija,,,Posavsko hribovje in Dolenjska,552,"bivak, sedlo",189457,54,0,"Brunarica pri knapu pod Babo se nahaja ob manjšem prelazu med Breznim in Zgornjo Rečico. V neposredni bližini brunarice je vhod v rudnik Barbara rov, ob katerem sta postavljena dva rudarska vagona.",
Smuk,Slovenija,,,Posavsko hribovje in Dolenjska,545,"vrh, koča, cerkev",206598,56,2,"Smuk je 545 metrov visok vrh, ki se nahaja nad Semičem. Na vrhu stoji cerkev sv. Lovrenca, lovska koča in nekoliko stran še ruševine gradu Smuk oz. Turn ter vpisna skrinjica, katera pa je ob dnek, ko je lovska koča na Smuku odprta prazna, saj se žig in vpisna knjiga dobita v koči. S smuka se nam odpre lep pogled proti Mirni gori, večjemu delu Bele krajine ter čez mejo proti hrvaškemu Kleku.",
Zaplaz,Slovenija,,,Posavsko hribovje in Dolenjska,543,"vrh, cerkev",3600,29,3,"Zaplaz je 543 metrov visok hrib, ki se nahaja nad Čatežem, naseljem, ki je poznano predvsem po cilju Levstikove poti (Od Litije do Čateža). Na vrhu se nahaja romarska cerkev Matere Božje, kapela blaženega Alojzija Grozdeta, kapelica z zdravilno vodo... Z vrha, na katerega se je možno pripeljati tudi z avtomobilom, pa se nam odpre lep pogled na okoliško hribovje in bližnje vasice.",
Gradiše (nad Štorami),Slovenija,,,Posavsko hribovje in Dolenjska,540,vrh,207,7,1,"Gradiše je prej poraščen krajši greben kot pa vrh, vendar če ga opazujemo iz severne strani, zgleda kot samostojen hrib, ki leži levo od Malega Bojanskega vrha. Pravzaprav je manjši izrastek višjega Babnega vrha. Vsi trije omenjeni vrhovi se nahajajo južno od Celja in Štor v Posavskem hribovju. Gradiše je zanimivo predvsem po veliki neobičajni skali na vrhu grebena tik pred prepadno steno. Zaradi poraščenosti je razgled omejen.",
Kožljevec,Slovenija,,,Posavsko hribovje in Dolenjska,533,vrh,265,9,1,"Kožljevec (tudi Kožlevec) je 533 m visok hrib nad Cerovico v občini Šmartno pri Litiji. Vrh, ki ima tudi skrinjico z vpisno knjigo, je porasel z gozdom, je pa nekaj metrov pod vrhom lep razgled na Cerovico in okoliške hribe.",
Vipota,Slovenija,,,Posavsko hribovje in Dolenjska,532,vrh,209452,56,3,"Vipota je 532 metrov visok vrh južno od Celja nad levim bregom Savinje. Pristopi na vrh so možni iz več smeri. Vrh je poraščen z gozdom, delno kamnit in izrazitih razgledov ni. Neposredno nad Pečovniškim grabnom v pobočju Vipote raste tudi eno najvišjih dreves v Sloveniji, duglazija, iglasto drevo iz družine borovk.",
Debenji vrh,Slovenija,,,Posavsko hribovje in Dolenjska,530,vrh,467984,87,7,"Debenji vrh, tudi Debni ali Deben vrh, je s 530 m višine najvišji vrh Kašeljskega griča, manjšega pogorja, ki se nahaja med dolino Besnice in spodnjega toka reke Ljubljanice. Z vrha, na katerem stoji lesen razgledni stolp, se nam odpre lep razgled na Ljubljansko kotlino in hribovje, ki le to obdaja.",
Sveta Trojica (nad Dobom),Slovenija,,,Posavsko hribovje in Dolenjska,527,"vrh, koča, cerkev",5251,32,4,"Sveta Trojica je vas, ki se nahaja jugovzhodno od Doba pri Domžalah, na zgornjem delu vasi, na razgledni vzpetini pa stoji še cerkev Svete Trojice. V bližini cerkve, še ob asfaltni cesti pa se nahaja še Okrepčevalnica na Zavrhu.",
Svete gore,Slovenija,,,Posavsko hribovje in Dolenjska,527,"vrh, cerkev",281309,65,3,"Svete gore so 527 m visok hrib v pogorju Orlice, ki se nahaja na skrajnem vzhodu Posavskega hribovja. Vrh hriba, na katerem stoji kar pet cerkvenih stavb, je star kultni prostor in znana Božja pot Slovencev in tudi Hrvatov. Z najvišje točke ob kapeli Lurške Matere Božje se odpira razgled proti severu in zahodu na Obsotelje in Kozjansko, na druge strani pa ga zakriva gozd in višji greben Orlice.",
Kamčič,Slovenija,,,Posavsko hribovje in Dolenjska,525,vrh,924,17,3,"Kamčič je poraščen vrh v Posavskem hribovju, ki se nahaja severno od Šmohorja, med Kotečnikom na levi in Velikim Slomnikom na desni. Prepoznamo ga po širokem hrbtu, če ga opazujemo iz Kotečnika ali Velikega Slomnika. Po hrbtu ima pet manj izrazitih izrastkov, med katerimi je najvišji srednji, ki leži bližje južnemu sedlu, kot pa severni prepadni steni. Nobeden od izrastkov ni posebej razgleden, še najbolj v času, ko je drevje brez listja. Zato pa se nam odpre čudovit razgled na vrhu kamnite severne prepadne stene, po čemer je najbrž tudi dobil ime. Razgled je praktično na vse strani neba na okoliške hribe in doline, najbolj pa je očiten pogled na kamnolom v Libojah, ki se je že globoko zajedel v vzhodni greben sosednjega Kotečnika.",
Sv. Peter (Olešče),Slovenija,,,Posavsko hribovje in Dolenjska,525,cerkev,192854,54,2,"Sv. Peter je podružnična cerkev v naselju Olešče, ki leži med Svetino in Jurkloštrom. Naselje se je imenovalo pred leti Sv. Peter pri Jurkloštru in bilo leta 1959 na podlagi povojnih zakonov preimenovano v Olešče. Je naselje v občini Laško. Cerkev je bila zgrajena v gotskem stilu in pozneje nekoliko preurejena v baročni stil. 11.02.1944 se je skozi Olešče prebila 14. divizija in v bližini cerkve je tudi grob neznanega padlega borca.",
Ostri vrh (nad Globodolom),Slovenija,,,Posavsko hribovje in Dolenjska,523,vrh,2022,24,3,"Ostri vrh je 523 metrov visok vrh, ki se nahaja med Vrbovcem, Rdečim Kalom, Gorenjim, Srednjim in Dolenjim Globodolom, Dolnjim in Gornjim Ajdovcem in Podlipo. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, zaradi gozda, ki prerašča vrh, ni razgleda.",
Strešni vrh (Svibno),Slovenija,,,Posavsko hribovje in Dolenjska,523,vrh,180428,53,2,"Strešni vrh (523 m) se nahaja na Svibnem, manjšem pogorju severno do severovzhodno od Litije. Na vrhu je vpisna skrinjica in klop. Omenjen hrib ima tudi svojo gozdno učno pot - http://www.litijanka.si/gup-svibno/gup-svibno.html.",
Grad Turjak,Slovenija,,,Posavsko hribovje in Dolenjska,522,vrh,263631,63,3,"Grad Turjak (tudi Turjaški grad oz. po nemško Burg Ursperg, pozneje preimenovan v Schloss Auersperg) se nahaja ob robu kraja Turjak, ime pa je dobil po divjem govedu tur, katerega danes ni več, saj je že izumrlo. Grad, katerega poznamo danes je bil zgrajen po potresu leta 1511, pred tem pa sta bila na Turjaku dva gradova in sicer spodnji in zgornji. Prvi od njiju je bil postavljen v 10. ali 11. stoletju, čeprav se prvič omenja šele leta 1220. Grad je še danes dobro ohranjen in zato vreden ogleda. Notranjost gradu si lahko ogledamo ob sobotah in nedeljah (cena za ogled v letu 2012 pa je 3 eur za odrasle in 2 eur za otroke, večje skupine imajo popust).",
Sv. Križ (Retje),Slovenija,,,Posavsko hribovje in Dolenjska,520,"vrh, cerkev",168715,51,6,"Retje je vas nad Trbovljami, krasi jo lepa cerkev na nadmorski višini 520 m. Nahaja se med občinama Trbovlje in Hrastnik iz južne strani jo omejuje reka Sava. Pri sami cerkvi se nam odpre lep pogled na Trbovlje, Čemšeniško planino, Klek, Mrzlico, Kal ter Kum. Ob lepem vremenu je možen razgled tudi na Alpe. ",
Turn (Sv. Janez Krstnik),Slovenija,,,Posavsko hribovje in Dolenjska,513,vrh,260116,63,5,"Turn je vrh nad Štorami - Šentjanž nad Štorami. Nekoliko pod vrhom, na mestu nekdanjega gradu Prežin je bila leta 1525 zgrajena cerkev Sv. Janeza Krstnika. Zvonik je ločen od cerkve, stoji na samem vrhu in od tu verjetno ime vrha Turn. Po nekaterih virih naj bi na mestu sedanjega zvonika stal tudi nekdanji grajski stolp. Od gradu je ostalo nekaj skromnih ostankov. Naselje v dolini ob Voglajni, Prožinska vas naj bi dobilo ime po nekdanjem gradu.",
Sveti Mohor na Mohorjevem hribu,Slovenija,,,Posavsko hribovje in Dolenjska,511,"vrh, cerkev",4950,31,3,"Cerkvica sv. Mohorja se nahaja na razgledni vzpetini, na nižjem vrhu Mohorjevega hriba nad Moravčami. Z vrha se nam odpre lep razgled proti Limbarski gori in okoliškim hribom, ob lepi vidljivosti pa razgled seže vse do Alp. Ob vznožju cerkvice, pa se nahaja dom duhovnih vaj.",
Lavričeva koča na Gradišču,Slovenija,,,Posavsko hribovje in Dolenjska,510,"vrh, koča, cerkev",467392,87,2,"Lavričeva koča (510 m) se nahaja le nekaj metrov pod vrhom Gradišča (519 m), vrha na katerem stoji cerkev sv. Miklavža. Z vrha oz. od koče, se nam odpre lep pogled proti Ivančni Gorici ter delu dolenjskega in notranjskega hribovja.<br>Ob koči, ki je odprta ob sobotah in nedeljah, pa se nahaja tudi vpisna skrinjica z žigom Lavričeve koče.",
Sveti Lenart (Kandrše),Slovenija,,,Posavsko hribovje in Dolenjska,508,"vrh, cerkev",457,12,1,Cerkev sv. Lenarta se nahaja na manjši vzpetini nad naseljem Kandrše. Od cerkve se nam odpre lep pogled proti zaselkom Kandrš in okoliškim hribom.,
Grad Višnja Gora (Stari grad),Slovenija,,,Posavsko hribovje in Dolenjska,506,vrh,2700,27,1,"Grad Višnja Gora ali Stari grad se nahaja južno od Višnje Gore. Od gradu, ki se prvič omenja leta 1154 in od katerega so danes ostale le še ruševine, se nam odpre lep razgled proti Višnji Gori in okoliškim hribom.",
Magdalenska gora,Slovenija,,,Posavsko hribovje in Dolenjska,504,"vrh, cerkev",350399,74,1,"Magdalenska gora je priljubljena izletniška točka Grosupeljčanov ter prebivalcev okoliških vasi. Zadnje čase Magdalensko goro, ki je poznana po arheološkem najdišču obiskuje tudi vse več pohodnikov iz nekoliko bolj oddaljenih krajev. Sicer pa je z vrha na katerem se nahaja cerkev svete Magdalene lep razgled predvsem proti severozahodu, kjer ob lepi vidljivosti lahko vidimo del Julijskih Alp, Karavank in Kamniško Savinjskih Alp.",
Kapelica pri Mariji pod Srebotnikom,Slovenija,,,Posavsko hribovje in Dolenjska,500,cerkev,1080,18,2,"Kapelica pri Mariji vklesana v steno 700 metrov visokega Srebotnika. Prijetna točka nad Štorami. Tukaj je bilo nekoč počivališče za tovorne živali, kjer so napajali živino. Zgodila se je nesreča, vprega je zdrsnila v dolino potoka in vsi so po veliki sreči preživeli. V zahvalo so preživeli dali vklesati Marijo v skalo in še danes jo obiskujejo od blizu in daleč.",
Ajdovščina nad Ihanom,Slovenija,,,Posavsko hribovje in Dolenjska,495,vrh,3057,28,1,"Ajdovščina nad Ihanom je z mešanim gozdom poraščen hrib severno od Dola pri Ljubljani. Nanj vodi več poti in vlak. Poleti in jeseni so gozdovi polni borovnic, kostnajev in gob.",
Tabor Cerovo,Slovenija,,,Posavsko hribovje in Dolenjska,493,"vrh, cerkev",2430,26,3,"Tabor Cerovo se nahaja nad naseljem Cerovo. Sredi obzidja Tabora Cerovo se nahaja cerkev sv. Miklavža. Ob obzidju se nahaja tudi vpisna skrinjica v obliki miniaturnega Aljaževega stolpa, v katerem je vpisna knjiga z žigom, nekoliko nižje, v manjši vrtači pa še kapelica sv. Antona Puščavnika.",
Sveti Mihael (Križate),Slovenija,,,Posavsko hribovje in Dolenjska,491,cerkev,311,10,1,"Cerkev sv. Mihaela se nahaja na skrajnem vzhodnem delu naselja Križate, od koder se odpre lep pogled na okoliške zaselke. ",
Rudniško jezero,Slovenija,,,Posavsko hribovje in Dolenjska,490,"koča, jezero",3142,28,1,"Rudniško jezero (tudi Kočevsko jezero) je jezero rudniškega nastanka. Ob izkoriščanju rjavega premoga je nastala kotanja, katero je pozneje zalila voda, med obratovanjem rudnika pa so vodo, ki je pritekala iz Rudniškega potoka, prečrpavali. Jezero, ki velja za eno najčistejših slovenskih jezer, je globoko do 40 m.<br>Ob jezeru, v bližini parkirišča se nahaja Ribič bar, nekoliko stran pa še gostilna Jezero - Tušek.",
Špicberg,Slovenija,,,Posavsko hribovje in Dolenjska,490,vrh,209982,56,2,"Špicberg ali Ostri Vrh je grebenast hrib neposredno nad Trbovljami. Greben sestavlja več neizrazitih vrhov, najvišji vrh je visok 490 m in ima na drevesu izrezljano oznako višine ter plastično markacijo. Zaradi poraščenosti je razgled zelo omejen, nekaj več razgleda je na koncu grebena. Čez Špicberg poteka lahka krožna pot.",
Gradiški grič,Slovenija,,,Posavsko hribovje in Dolenjska,485,"vrh, cerkev",1520,21,2,"Gradiški grič se nahaja nad naseljem Gradišče pri Lukovici ter nad Gradiškim jezerom. Z vrha, pod katerim se nahaja cerkev sv. Magdalene, se nam odpre lep pogled na okoliške hribe in bližnje vasice.",
Grad Podsreda,Slovenija,,,Posavsko hribovje in Dolenjska,475,,456,12,1,"Grad Podsreda (prvotno nemško ime Hörberg oz. Herberch) upravljalec (Kozjanski park) promovira kot ""najbolj grajskega med slovenskimi gradovi"". Njegovi začetki segajo najverjetneje že v 12. stoletje, zagotovo pa je stal že leta 1213, ko je v pisnih virih prvič omenjen. Skozi zgodovino je zamenjal kar nekaj lastnikov (mdr. Celjski gofje, Habsburžani... in na koncu Windischgrätzi, pod katerimi je dobil današnjo podobo), dokler ga po koncu 2. sv. vojne niso podržavili. Leta 1983 je upravljanje prevzel Spominski park Trebče, pravni predhodnik današnjega Kozjanskega parka, in takoj pričel s sistematično obnovo. Danes je v gradu več stalnih in začasnih razstav, v zahdnem traktu pa je urejen hotel.<br> <br> Grad leži na severnem pobočju Orlice, približnp 130 metrov nad samo Podsredo. Iz Podsrede ga je mogoče doseči peš po Grajski poti ali po cesti mimo Železnega. Mimo gradu mdr. vodijo Evropska pešpot E7 (odsek med Svetimi gorami in Pečinami), Zasavska planinska pot itd.",
Oklo nad Ihanom,Slovenija,,,Posavsko hribovje in Dolenjska,465,,3290,29,4,"Oklo nad Ihanom je zaselek, kjer se nahaja manjši spominski park NOB, ob obeležju pa tudi kovinska skrinjica na katero je pritrjen žig.",
Sveti Primož in Felicijan nad Semičem,Slovenija,,,Posavsko hribovje in Dolenjska,465,cerkev,123170,46,1,"Cerkev sv. Primoža in Felicijana nad Semičem se nahaja na pobočju vrha Semenič (590 m). Kljub temu, da cerkev obdaja gozd, pa se nam odpre nekaj razgleda proti Beli krajini in hribovju, ki obdaja omenjeno pokrajino.",
Vzletišče Peter (Straška gora),Slovenija,,,Posavsko hribovje in Dolenjska,464,,206,7,1,"Vzletišče Peter je travnata jasa na pobočju Straške gore, ki jo uporabljajo jadralni padalci za svoj vzlet. Gre za hrib posejan z vinogradi, zato so tudi poti na vrh razgledne. Po poti se nam odpirajo lepi razgledi po Dolenjski, od Trške gore, Novega mesta in Gorjancev, z vrha pa je razgled zaradi dreves usmerjen na dolino reke Krke, proti Dolenjskim Toplicam in Kočevskemu Rogu.",
Orle,Slovenija,,,Posavsko hribovje in Dolenjska,458,"vrh, koča",51757,36,5,"Orle so naselje v občini Lavrica, ki se nahaja na manjši vzpetini severovzhodno od Ljubljanskega barja. Nekaj metrov pod najvišjo točko naselja (Srednji grič 458 m) se nahaja Gostilnica Orle, ki je odprta vsak dan (kuhinja je ob ponedeljkih zaprta). Od gostilne oz. bližnje okolice je lep pogled na Ljubljano, z bolj vzhodnega dela naselja pa še na Ljubljansko barje in okoliško hribovje.",
Planinski dom na Brnici,Slovenija,,,Posavsko hribovje in Dolenjska,457,koča,349900,74,4,"Planinski dom na Brnici do katerega je možno priti tudi z avtomobilom, se nahaja severno od Liboj in vzhodno od vasi Kasaze. Od doma oziroma njegove bližnje okolice, je lep pogled proti Posavskem hribovju, kjer se najlepše vidi bližnji Kotečnik.",
